team,over,batter,bowler,non_striker,batter_runs,extras_runs,total_runs,wicket,extra_legbyes_runs,extra_noballs_runs,extra_wides_runs
India,0,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,0,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,0,SC Ganguly,DR Tuffey,V Sehwag,0,4,4,0.0,4.0,0.0,0.0
India,0,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,0,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,0,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,0,1,1,0.0,0.0,1.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,2,0,2,0.0,0.0,0.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,1,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,2,SC Ganguly,DR Tuffey,V Sehwag,2,0,2,0.0,0.0,0.0,0.0
India,2,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,2,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,2,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,2,SC Ganguly,DR Tuffey,V Sehwag,1,0,1,0.0,0.0,0.0,0.0
India,2,V Sehwag,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,3,SC Ganguly,KD Mills,V Sehwag,1,0,1,0.0,0.0,0.0,0.0
India,3,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,3,V Sehwag,KD Mills,SC Ganguly,1,0,1,0.0,0.0,0.0,0.0
India,3,SC Ganguly,KD Mills,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,3,SC Ganguly,KD Mills,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,3,SC Ganguly,KD Mills,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,4,V Sehwag,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,4,V Sehwag,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,4,V Sehwag,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,4,V Sehwag,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,4,V Sehwag,DR Tuffey,SC Ganguly,0,1,1,0.0,0.0,1.0,0.0
India,4,V Sehwag,DR Tuffey,SC Ganguly,1,0,1,0.0,0.0,0.0,0.0
India,4,SC Ganguly,DR Tuffey,V Sehwag,0,0,0,0.0,0.0,0.0,0.0
India,5,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,5,V Sehwag,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,5,V Sehwag,KD Mills,SC Ganguly,0,0,0,1.0,0.0,0.0,0.0
India,5,SR Tendulkar,KD Mills,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,5,SR Tendulkar,KD Mills,SC Ganguly,1,0,1,0.0,0.0,0.0,0.0
India,5,SC Ganguly,KD Mills,SR Tendulkar,0,0,0,0.0,0.0,0.0,0.0
India,6,SR Tendulkar,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,6,SR Tendulkar,DR Tuffey,SC Ganguly,0,1,1,0.0,0.0,0.0,1.0
India,6,SR Tendulkar,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,6,SR Tendulkar,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,6,SR Tendulkar,DR Tuffey,SC Ganguly,0,1,1,0.0,0.0,0.0,1.0
India,6,SR Tendulkar,DR Tuffey,SC Ganguly,0,0,0,1.0,0.0,0.0,0.0
India,6,D Mongia,DR Tuffey,SC Ganguly,0,0,0,1.0,0.0,0.0,0.0
India,6,R Dravid,DR Tuffey,SC Ganguly,0,0,0,0.0,0.0,0.0,0.0
India,7,SC Ganguly,KD Mills,R Dravid,2,0,2,0.0,0.0,0.0,0.0
India,7,SC Ganguly,KD Mills,R Dravid,0,0,0,0.0,0.0,0.0,0.0
India,7,SC Ganguly,KD Mills,R Dravid,0,0,0,0.0,0.0,0.0,0.0
India,7,SC Ganguly,KD Mills,R Dravid,1,0,1,0.0,0.0,0.0,0.0
